"","cia_ano","ano","cd_cvm","ativo_total","ativo_circulante","ativo_nao_circulante","passivo_total","passivo_circulante","passivo_nao_circulante","patrimonio_liquido","receitas","resultado_operacional","lucro_liquido","fc_operacional","fc_investimento","fc_financiamento","fc_diferenca","liquidez_geral","liquidez_corrente","prop_capitalterceiros","endividamento_geral","margem_operacional","margem_liquida","roe","fluxocaixa_livre"
"21","016292_2010",2010-12-31,"016292",27751547,12162773,34582424,27751547,5686384,10076365,13636518,22681253,2486034,804996,NA,NA,NA,NA,2.96554852202493,2.13892923868666,0.536161292728829,0.337205745437333,0.109607436590915,0.0354916899873212,0.0590323717535517,NA
"22","019313_2010",2010-12-31,"019313",12343594,3609512,17874013,12343594,2520337,6013290,4649561,9785395,3894850,1306490,NA,NA,NA,NA,2.51751394805515,1.43215450949615,0.647311333191941,0.397217262995714,0.398026855328783,0.13351428327625,0.280992119471064,NA
"23","018708_2010",2010-12-31,"018708",830238,665164,884690,830238,135765,113974,618827,198966,63524,27497,NA,NA,NA,NA,6.20589495433232,4.89937760100173,0.287530251011437,0.161137113560374,0.31927062915272,0.138199491370385,0.04443406638689,NA
"24","016497_2010",2010-12-31,"016497",175317,4556,325119,175317,3546,22091,150681,3777,17920,6799,NA,NA,NA,NA,12.859343916995,1.28482797518331,0.145402057645844,0.0777644650034125,4.74450622186921,1.80010590415674,0.0451218136327739,NA
"25","018287_2010",2010-12-31,"018287",162474,163825,61335,162474,37917,54863,72333,35006,20347,9595,NA,NA,NA,NA,2.42681612416469,4.32062135717488,0.561918201474142,0.412062533309646,0.58124321544878,0.274095869279552,0.132650380877331,NA
"26","018678_2010",2010-12-31,"018678",76192636,31670046,102401725,76192636,19746068,45466090,18438474,29479382,5385286,1432431,NA,NA,NA,NA,2.0559321315513,1.60386594434902,0.779577588845952,0.486397378908346,0.18267974545735,0.0485909440028288,0.0776870688973502,NA
"27","016624_2010",2010-12-31,"016624",115798,32464,146247,115798,23132,30700,63477,66970,32316,14562,NA,NA,NA,NA,3.31979120225888,1.40342382846274,0.4588906222029,0.301223763506443,0.482544422875915,0.217440645064954,0.229405926556075,NA
"28","019143_2010",2010-12-31,"019143",1845686,784796,1782573,1845686,958844,540243,370401,2078388,683631,217533,NA,NA,NA,NA,1.71262174910462,0.818481421378243,0.801870351668478,0.583900093831467,0.328923665841027,0.104664287900046,0.58729053107308,NA
"29","016632_2010",2010-12-31,"016632",773270,211029,1125142,773270,262430,349725,198532,554976,13272,-19356,NA,NA,NA,NA,2.18273313131478,0.80413443584956,0.755106471424853,0.458141210967758,0.0239145476561149,-0.0348771838782218,-0.0974956178349082,NA
"30","016675_2010",2010-12-31,"016675",44694457,1934014,51502136,44694457,12265809,62012502,NA,13722144,1480824,43569,1672739,-721560,-1064853,-113674,0.719404484035723,0.157675209193295,NA,1.39003859746632,0.107914914753846,0.00317508692519187,NA,951179
"31","016730_2010",2010-12-31,"016730",444759,258851,249633,444759,265358,64849,114570,32487,-4134,-21061,NA,NA,NA,NA,1.53989467212991,0.97547841029854,0.74241024153677,0.649395064544804,-0.127250900360144,-0.648290085264875,-0.183826481626953,NA
"32","016993_2010",2010-12-31,"016993",1133069,128246,1590521,1133069,86033,272287,812700,142781,-52976,13974,NA,NA,NA,NA,4.79673755302523,1.49066056048261,0.305989650048676,0.208475028901532,-0.371029758861473,0.0978701647978373,0.0171945367294205,NA
"33","016950_2010",2010-12-31,"016950",512447,50921,928754,512447,39923,327004,216355,141448,45192,11686,NA,NA,NA,NA,2.66994524796485,1.27548029957669,0.629073072716113,0.374539515655702,0.319495503647984,0.082616933431367,0.0540130803540477,NA
"34","020800_2010",2010-12-31,"020800",600948,288323,684879,600948,142004,42511,419902,1167171,327148,112302,NA,NA,NA,NA,5.27437877679321,2.03038646798682,0.305277647716725,0.189595787924809,0.280291405458155,0.0962172637942512,0.267448118846779,NA
"35","018414_2010",2010-12-31,"018414",528778,408160,311073,528778,314696,91018,132899,1075999,-34130,-35468,NA,NA,NA,NA,1.77275864278778,1.29699773749905,0.753256976716121,0.564092581958837,-0.031719360333978,-0.0329628559134349,-0.266879359513616,NA
"36","017450_2010",2010-12-31,"017450",12519836,4677973,18828353,12519836,1703703,7191461,3827976,2753531,1230473,239879,NA,NA,NA,NA,2.64259613425902,2.74576789499109,0.699132761252332,0.378415750721742,0.446870944979374,0.0871168692126582,0.0626647084516726,NA
