"cia_ano","ano","cd_cvm","ativo_total","ativo_circulante","ativo_nao_circulante","passivo_total","passivo_circulante","passivo_nao_circulante","patrimonio_liquido","receitas","resultado_operacional","lucro_liquido","fc_operacional","fc_investimento","fc_financiamento","fc_diferenca","liquidez_geral","liquidez_corrente","prop_capitalterceiros","endividamento_geral","margem_operacional","margem_liquida","roe","fluxocaixa_livre"
"018902_2010","2010-12-31","018902",37925581,26103579,40113036,37925581,4519662,28584567,7854723,14450510,8072701,2603240,NULL,NULL,NULL,NULL,"2.0002464035637257","5.775559986565367","0.8082293951271019","0.49993840669747314","0.5586447121935488","0.18014865911306938","0.33142352696587773",NULL
"020575_2010","2010-12-31","020575",44529225,16606126,59876641,44529225,9685082,16471721,18694849,55055802,2352782,-264000,NULL,NULL,NULL,NULL,"2.9240105145877346","1.7146087147222915","0.583184828955687","0.3419960342177474","0.04273449690188874","-0.004795134943270829","-0.014121536900351535",NULL
"019771_2010","2010-12-31","019771",4821477,2555966,6949572,4821477,1637298,2335251,1086781,2184529,1087600,304249,NULL,NULL,NULL,NULL,"2.392805727506445","1.5610878410649742","0.785192703381673","0.4179194276010469","0.49786475711698036","0.13927441567495785","0.2799542870182677",NULL
"021431_2010","2010-12-31","021431",9987182,6897011,10927914,9987182,1748553,3212991,5059091,3159728,1040682,261901,NULL,NULL,NULL,NULL,"3.592616532273018","3.944410606941854","0.49513269368657775","0.2783486606535511","0.3293580966462936","0.0828871978853876","0.0517683908038025",NULL
"020478_2010","2010-12-31","020478",15386410,12068735,6168582,15386410,4197388,5272819,5964848,5229815,1753750,789552,NULL,NULL,NULL,NULL,"1.925756955470984","2.875296493914787","0.6135518791478229","0.5192763277624663","0.3353369096229981","0.150971305868372","0.132367497042674",NULL
"018716_2010","2010-12-31","018716",388279,141447,616417,388279,32161,71040,286838,105012,65591,27261,NULL,NULL,NULL,NULL,"7.343572252206858","4.39809085538385","0.2645914895689918","0.13617350870340852","0.6246048070696683","0.2595989029825163","0.09503970882519053",NULL
"018350_2010","2010-12-31","018350",4210730,795985,7206894,4210730,548095,1813755,1981004,1754323,2246644,737339,NULL,NULL,NULL,NULL,"3.388394267205792","1.4522756091553473","0.5438474330474844","0.29512504187555505","1.2806330419198746","0.4202983145065076","0.37220470024290714",NULL
"018376_2010","2010-12-31","018376",6931418,1597373,5436216,6931418,814049,1737884,4563835,2256286,1936197,812171,NULL,NULL,NULL,NULL,"2.7561809028685316","1.9622565717788487","0.3586307198323498","0.3628208870322107","0.8581345627283066","0.3599592427555727","0.1779580111901504",NULL
"019330_2010","2010-12-31","019330",3015614,226863,5041629,3015614,305277,1333859,1407515,545873,166514,30672,NULL,NULL,NULL,NULL,"3.2141884505007514","0.7431381990782142","0.5380123945932763","0.31112052556974557","0.3050416488816996","0.056188893753675306","0.021791597247631463",NULL
"020010_2010","2010-12-31","020010",3276531,1648612,4238564,3276531,666585,1495883,1270917,1798884,752617,286098,NULL,NULL,NULL,NULL,"2.72243381173733","2.4732209695687724","0.6298355704355906","0.36731838830705926","0.4183799511252532","0.15904193933572147","0.2251114746281622",NULL
"019879_2010","2010-12-31","019879",9594924,2892277,13387394,9594924,2186753,4629924,3330144,6508584,2164632,575150,NULL,NULL,NULL,NULL,"2.3882121743482934","1.32263543253399","0.6718042035037378","0.41872326535345833","0.3325810959803238","0.08836791535608975","0.1727102491664024",NULL
"019216_2010","2010-12-31","019216",478224,109952,645131,478224,127178,74501,287458,401671,54052,36244,NULL,NULL,NULL,NULL,"3.743984252202758","0.8645520451650442","0.4123159769144432","0.2670951405342194","0.13456784283655032","0.09023305142766094","0.12608450625830556",NULL
"021415_2010","2010-12-31","021415",65806,42465,55836,65806,13355,7604,45027,36801,23752,11268,NULL,NULL,NULL,NULL,"4.6901569731380315","3.1797079745413703","0.3176279816930864","0.2132124800358084","0.6454172440966278","0.3061873318659819","0.25024985008994605",NULL
"019860_2010","2010-12-31","019860",403006,368201,390202,403006,359957,9145,33904,32717,25298,10037,NULL,NULL,NULL,NULL,"2.0547247102426973","1.0229027356045306","0.9158722202647107","0.4866832014113868","0.7732371549958738","0.30678240669988077","0.2960417649834828",NULL
"019437_2010","2010-12-31","019437",6162468,832686,10714803,6162468,933497,3577158,1772441,1201298,1775752,666678,NULL,NULL,NULL,NULL,"2.560047044165426","0.8920071516030582","0.7179032438784956","0.3906178217619432","1.4781944197026882","0.5549647131685893","0.3761355102934315",NULL
"018651_2010","2010-12-31","018651",1227215,203599,2052121,1227215,103856,530027,629924,122504,-234887,-222742,NULL,NULL,NULL,NULL,"3.5585746896509294","1.9603970882760746","0.5015662992846218","0.28101138439167983","-1.917382289557892","-1.8182426696271141","-0.35360138683396725",NULL
"018775_2010","2010-12-31","018775",3868951,204495,7373753,3868951,640664,2270089,1387217,1227997,181656,-10594,NULL,NULL,NULL,NULL,"2.6035352364147695","0.3191922755141541","0.6772390221430117","0.3840931307605663","0.1479287001515476","-0.008627056906490814","-0.007636872962196974",NULL
"018724_2010","2010-12-31","018724",14281252,5321295,19347663,14281252,2490189,5343808,7022412,4831326,4667820,1780240,NULL,NULL,NULL,NULL,"3.148961890079866","2.136904066317858","0.5273143058998981","0.3175649737617616","0.966157117114432","0.36847855019512243","0.2535083387303394",NULL
"020788_2010","2010-12-31","020788",22599586,10138287,28390633,22599586,6948559,11865972,4008741,15878469,604242,140092,NULL,NULL,NULL,NULL,"2.0478278198909132","1.4590488473941143","0.824357305122596","0.4883223043884957","0.0380541726031647","0.008822764965564375","0.034946632870519696",NULL
"018953_2010","2010-12-31","018953",7260394,737000,13314615,7260394,1004447,4187911,2088394,1083253,937705,245513,NULL,NULL,NULL,NULL,"2.706210742787766","0.7337370712441772","0.7131623216942425","0.3695203718576121","0.8656380365436329","0.2266441911538671","0.11756067102280508",NULL
"019763_2010","2010-12-31","019763",12810115,4001126,19081688,12810115,2525410,4260359,6455121,5034316,2148423,736641,NULL,NULL,NULL,NULL,"3.401650424587103","1.5843470961150863","0.5124858676418277","0.29397494603560903","0.42675569034601724","0.14632394946999752","0.11411730314582794",NULL
"019089_2010","2010-12-31","019089",41317707,11731335,59957174,41317707,6522802,17079560,22665518,10263292,-1320952,-127343,NULL,NULL,NULL,NULL,"3.0373446945691285","1.798511590571046","0.5101241293095772","0.3292349405676717","-0.12870646182530907","-0.012407617360979303","-0.005618358247978273",NULL
"019062_2010","2010-12-31","019062",7258465,1003801,12691870,7258465,1082968,4557887,1701861,1208103,1331745,424999,NULL,NULL,NULL,NULL,"2.4279423952574564","0.9268981170265419","0.7682245915544057","0.41187138622123737","1.1023439226622234","0.35179036886755516","0.24972603520499032",NULL
"019100_2010","2010-12-31","019100",1378557,989876,1364780,1378557,504476,541376,420971,2397996,352610,109053,NULL,NULL,NULL,NULL,"2.2514237196085105","1.9621865063947541","0.7130049092494459","0.4441633937186578","0.14704361475165095","0.04547672306375824","0.25905109853172786",NULL
"018970_2010","2010-12-31","018970",18215134,4523964,28561440,18215134,3000385,8645004,7435024,10016982,5549497,1787147,NULL,NULL,NULL,NULL,"2.8410733209513226","1.507794499705871","0.6103321243622976","0.35197965241712026","0.55400888211639","0.17841172121503263","0.2403686928246634",NULL
"019453_2010","2010-12-31","019453",4165776,1949534,6163272,4165776,1112971,1474500,1787867,1427608,1739430,594039,NULL,NULL,NULL,NULL,"3.135419102281726","1.7516485155498212","0.5913762548173421","0.31893662932405875","1.2184227042717608","0.4161079231833949","0.33226129236682594",NULL
"018961_2010","2010-12-31","018961",2929216,1288990,4187984,2929216,228917,747963,2004760,1003839,264930,121622,NULL,NULL,NULL,NULL,"5.606598558676603","5.630818156799189","0.3276317731181497","0.17836126298938063","0.2639168233152926","0.12115687874250751","0.06066661345996528",NULL
"021237_2010","2010-12-31","021237",6279555,1965950,8708567,6279555,1395697,3185834,1701563,98455,-581529,-255614,NULL,NULL,NULL,NULL,"2.3299017293564095","1.4085793693043691","0.729183902071177","0.42920265151107073","-5.906546137829465","-2.5962520948656747","-0.15022305962224144",NULL
"021555_2010","2010-12-31","021555",914188,176885,1432013,914188,598806,45322,288867,769861,-132186,-126147,NULL,NULL,NULL,NULL,"2.497792364250584","0.2953961717150463","0.690387408292649","0.40035353390954553","-0.17170112526806788","-0.16385685208108997","-0.4366957804110542",NULL
"019305_2010","2010-12-31","019305",4907,1361,7340,4907,2859,6109,NULL,877,-8515,-4273,NULL,NULL,NULL,NULL,"0.9702274754683319","0.47604057362714236",NULL,"1.0306861280312607","-9.709236031927023","-4.872291904218928",NULL,NULL
"020613_2010","2010-12-31","020613",888811,786695,646755,888811,314192,276473,315505,783472,154226,70817,NULL,NULL,NULL,NULL,"2.426840933524079","2.5038670621785406","0.6518258163479259","0.4120583208343507","0.1968494087855086","0.09038868013151714","0.22445603080775264",NULL
"023221_2010","2010-12-31","023221",211031,30009,359455,211031,24767,70455,115830,141296,81631,35719,NULL,NULL,NULL,NULL,"4.0900632206842955","1.2116526022529979","0.45117790876182173","0.24449499825401064","0.5777304382289662","0.2527955497678632","0.308374341707675",NULL
"019402_2010","2010-12-31","019402",1,0,2,1,24497,146897,NULL,1,2,1,1,0,0,1,"1.1669019919017002e-05","0",NULL,"85697","2","1",NULL,1
"021717_2010","2010-12-31","021717",69751,68610,48087,69751,51761,0,17990,205820,322471,139020,NULL,NULL,NULL,NULL,"2.2545352678657675","1.3255153493943317","0.7420825507878023","0.44355039118400647","1.5667622194150228","0.6754445632105723","7.727626459143969",NULL
"080004_2010","2010-12-31","080004",288928000,56268000,471125000,288928000,74566000,158382000,70540000,146542000,67794000,22424000,37118000,-35313000,-11685000,-13464000,"2.263994539553892","0.7546066571896038","0.7675690636862084","0.44169717838499944","0.46262504947387095","0.15302097692129218","0.31789055854834136",1805000
"080047_2010","2010-12-31","080047",1564177,763967,2095029,1564177,252368,557431,774854,958982,333093,117475,NULL,NULL,NULL,NULL,"3.530500778588267","3.027194414505801","0.511026073216029","0.2832459366854658","0.3473402003374412","0.12249969238213022","0.1516092063795244",NULL
"020354_2010","2010-12-31","020354",1321802,567181,1643091,1321802,316837,337329,686466,394792,-43580,-22910,NULL,NULL,NULL,NULL,"3.3787631885484726","1.79013499054719","0.4879534428538182","0.29596628831202676","-0.11038724188939998","-0.058030557863381224","-0.03337383060486608",NULL
"022357_2010","2010-12-31","022357",2335219,160600,4455625,2335219,141631,533124,1671797,185009,559496,212760,NULL,NULL,NULL,NULL,"6.84133500307519","1.1339325430167124","0.28755169286681054","0.14617030149093685","3.0241555816203536","1.1499981082001416","0.12726425516973652",NULL
"021300_2010","2010-12-31","021300",2175573,372525,3574944,2175573,118801,829221,1238537,191126,178411,56132,NULL,NULL,NULL,NULL,"4.163900204847566","3.135705928401276","0.43356799427776704","0.24015945407044362","0.9334732061571948","0.2936910729047853","0.04532121365772682",NULL
"019569_2010","2010-12-31","019569",9063847,4660710,11927291,9063847,1659864,4619692,2929169,6979447,1084291,214197,NULL,NULL,NULL,NULL,"2.641588195088952","2.807886670233224","0.6819137285563419","0.378560141152632","0.15535485834336157","0.03068968071539192","0.07312551785165007",NULL
"019917_2010","2010-12-31","019917",572175,419157,455538,572175,225740,134636,295160,944334,97998,28565,NULL,NULL,NULL,NULL,"2.4271732856794017","1.85681314786923","0.549742500793244","0.4120018978043775","0.10377472377358012","0.030248831451583868","0.0967780187017211",NULL
"019909_2010","2010-12-31","019909",10569767,534837,20040969,10569767,505359,4385540,5789398,546437,1842655,634272,NULL,NULL,NULL,NULL,"4.206957861939083","1.0583308103744071","0.4579366098152514","0.23770145383369187","3.3721270704582595","1.160741311441209","0.10955750494265552",NULL
"019925_2010","2010-12-31","019925",5105236,542658,9589975,5105236,420402,1980864,2709470,204464,2340670,813368,NULL,NULL,NULL,NULL,"4.219704522531032","1.2908073700886296","0.46984739575669726","0.23698341783423912","11.4478343375851","3.9780499256592847","0.30019450298397843",NULL
"020320_2010","2010-12-31","020320",14665324,5033727,19799391,14665324,1590970,8030719,5050645,3914669,3445691,1084110,NULL,NULL,NULL,NULL,"2.580952055299231","3.163935837885064","0.6557708541803915","0.3874539234259669","0.8801998329871568","0.27693529133625344","0.21464783210857227",NULL
"020338_2010","2010-12-31","020338",2361609,734769,3243484,2361609,287251,361524,1760517,2444000,809619,351641,NULL,NULL,NULL,NULL,"6.131945589765327","2.5579336538428064","0.2692803529003541","0.1630803772409648","0.3312680032733224","0.14387929623567922","0.19973734988074526",NULL
