"cd_cvm","nome_companhia"
"017914","MMX MINERACAO E METALICOS S.A. - EM RECUPERAÇÃO JUDICIAL"
"017892","SANTOS BRASIL PARTICIPACOES S.A."
"017884","BETAPART PARTICIPACOES S.A."
"018406","RB SEC COMPANHIA DE SECURITIZAÇÃO"
"018066","ALTERE SECURITIZADORA S.A."
"018082","ALIUM PARTICIPAÇÕES SA"
"017965","GAMA PARTICIPACOES S.A."
"017973","COGNA EDUCAÇÃO S.A."
"018104","AETATIS SECURITIZADORA S.A."
"018112","COMPANHIA DE BEBIDAS DAS AMÉRICAS-AMBEV"
"018821","CCR S.A."
"022454","T4F ENTRETENIMENTO S.A."
"018902","VICUNHA SIDERURGIA SA"
"020575","JBS S.A."
"019771","ARTERIS S.A."
"021431","HYPERA S.A."
"020478","PDG REALTY S.A. EMPREEND E PARTICIPACOES - EM REC JUDICIAL"
"018716","CEMIG TELECOMUNICAÇÕES S.A."
"018333","PROMPT PARTICIPACOES S.A."
"018368","RIO PARANAPANEMA ENERGIA S.A."
"018350","AES TIETE SA"
"018376","CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA"
"019330","TPI - TRIUNFO PARTICIP. E INVEST. S.A."
"018929","MACHADINHO ENERGÉTICA SA"
"021849","CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A"
"020010","EQUATORIAL ENERGIA S.A."
"018597","DTCOM - DIRECT TO COMPANY S.A."
"019879","LIGHT S.A."
"018872","RIOEST ESTACIONAMENTOS SA"
"019216","CP CIMENTO E PARTICIPAÇÕES S/A"
"014605","ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A"
"021415","BRZ INVESTIMENTOS S/A"
"020001","XX DE NOVEMBRO INVESTIMENTOS E PARTICIPAÇÕES S.A."
"019860","RB CAPITAL SECURITIZADORA S.A."
"018635","PRIVATINVEST PARTICIPAÇÕES SA"
"019437","ANDRADE GUTIERREZ CONCESSOES S.A."
"018651","ARAUCÁRIA PARTICIPAÇÕES SA"
"018775","INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR"
"018759","BRAZILIAN SECURITIES CIA SECURITIZACAO"
"019852","TERMOPERNAMBUCO S.A."
"018724","BRADESPAR S.A."
"020788","MARFRIG GLOBAL FOODS S.A."
"018953","CPFL GERACAO DE ENERGIA S.A."
"019763","EDP - ENERGIAS DO BRASIL S.A."
"019089","COARI PARTICIPAÇÕES SA"
"019119","CABINDA PARTICIPACOES S.A."
"019135","CACONDE PARTICIPACOES S.A."
"019062","ANDRADE GUTIERREZ PARTICIPACOES S.A."
"019100","ATMA PARTICIPAÇÕES S.A."
